model_id,snr_db,metric,n,mean,std,ci95_low,ci95_high,seed_2022,seed_2023,seed_2024,seed_2025,seed_2026
M0,2,dominant_predicted_class_ratio,5,0.14890909090909094,0.003558832569284244,0.14449021663217568,0.1533279651860062,0.14954545454545454,0.14363636363636365,0.14863636363636365,0.14909090909090908,0.15363636363636363
M0,4,accuracy,5,0.901909090909091,0.003740000441949857,0.8972652670070557,0.9065529148111263,0.8963636363636364,0.9031818181818182,0.9063636363636364,0.9004545454545455,0.9031818181818182
M0,4,macro_f1,5,0.894103198214531,0.004081087210726535,0.889035859151442,0.89917053727762,0.8881317615635974,0.8967996231825044,0.8983376075005789,0.8919953280276552,0.8952516707983184
M0,4,balanced_accuracy,5,0.901909090909091,0.0037400004419498073,0.8972652670070558,0.9065529148111262,0.8963636363636365,0.9031818181818181,0.9063636363636364,0.9004545454545454,0.9031818181818181
M0,4,prediction_concentration,5,0.15027272727272728,0.0030761680573979417,0.14645316014343185,0.1540922944020227,0.14909090909090908,0.14545454545454545,0.15272727272727274,0.15136363636363637,0.15272727272727274
M0,4,normalized_prediction_entropy,5,0.9824819640058531,0.0018578755247555827,0.9801751068536202,0.984788821158086,0.9828747764147197,0.9855772302569523,0.9813698372252883,0.9813728279847367,0.981215148147568
M0,4,gini,5,0.11813223140495868,0.006784816936712082,0.10970776848024014,0.12655669432967723,0.1159504132231405,0.10892561983471073,0.11636363636363636,0.1262809917355372,0.1231404958677686
M0,4,hhi,5,0.09797016528925619,0.0006963039454734771,0.09710558974835454,0.09883474083015784,0.09778305785123967,0.09682644628099173,0.09840495867768594,0.09836446280991736,0.09847190082644626
M0,4,dominant_predicted_class_ratio,5,0.15027272727272728,0.0030761680573979417,0.14645316014343185,0.1540922944020227,0.14909090909090908,0.14545454545454545,0.15272727272727274,0.15136363636363637,0.15272727272727274
M0,6,accuracy,5,0.9116363636363637,0.005870503378531981,0.904347170939907,0.9189255563328204,0.9168181818181819,0.9122727272727272,0.9177272727272727,0.9045454545454545,0.9068181818181819
M0,6,macro_f1,5,0.9049819725742229,0.007836030741709419,0.8952522553134243,0.9147116898350214,0.9138736184612658,0.9068206692586241,0.9104201392327961,0.8956961903700035,0.8980992455484249
M0,6,balanced_accuracy,5,0.9116363636363636,0.005870503378531981,0.9043471709399069,0.9189255563328202,0.9168181818181818,0.9122727272727271,0.9177272727272726,0.9045454545454544,0.9068181818181817
M0,6,prediction_concentration,5,0.14927272727272728,0.007046187645143897,0.14052372974916394,0.15802172479629062,0.13818181818181818,0.14681818181818182,0.15181818181818182,0.15363636363636363,0.1559090909090909
M0,6,normalized_prediction_entropy,5,0.9834224191550722,0.004390003668145723,0.9779715096483532,0.9888733286617912,0.9902219749359072,0.985244568910065,0.9816972130343825,0.9805975281037611,0.9793508107912458
M0,6,gini,5,0.11391735537190084,0.014889640241366292,0.09542942513799031,0.13240528560581138,0.08892561983471076,0.11223140495867767,0.11917355371900827,0.125702479338843,0.12355371900826449
M0,6,hhi,5,0.09763950413223141,0.0016433334796108914,0.09559903611355565,0.09967997215090717,0.09507272727272728,0.09700371900826445,0.09827066115702479,0.09869586776859504,0.09915454545454548
M0,6,dominant_predicted_class_ratio,5,0.14927272727272728,0.007046187645143897,0.14052372974916394,0.15802172479629062,0.13818181818181818,0.14681818181818182,0.15181818181818182,0.15363636363636363,0.1559090909090909
M0,8,accuracy,5,0.9041818181818183,0.005176632173639245,0.8977541803798672,0.9106094559837694,0.8963636363636364,0.9072727272727272,0.9077272727272727,0.9081818181818182,0.9013636363636364
M0,8,macro_f1,5,0.8978161054297757,0.004169676820388959,0.8926387678377541,0.9029934430217974,0.8928876885928559,0.9014456517890445,0.9000828589189559,0.9009705254859459,0.8936938023620766
M0,8,balanced_accuracy,5,0.9041818181818181,0.005176632173639143,0.8977541803798671,0.9106094559837691,0.8963636363636365,0.9072727272727271,0.9077272727272725,0.9081818181818181,0.9013636363636363
M0,8,prediction_concentration,5,0.1491818181818182,0.008133696871250392,0.139082499604484,0.1592811367591524,0.1368181818181818,0.14636363636363636,0.15363636363636363,0.1509090909090909,0.15818181818181817
M0,8,normalized_prediction_entropy,5,0.9837958589366235,0.004509404963495512,0.9781966931401297,0.9893950247331172,0.9907584558346622,0.9854307508560778,0.9811653752377584,0.9824655783547614,0.979159134399858
M0,8,gini,5,0.11343801652892563,0.013300727954306594,0.09692298147816072,0.12995305157969053,0.0933884297520661,0.10842975206611571,0.118099173553719,0.11859504132231406,0.12867768595041318
M0,8,hhi,5,0.09754057851239668,0.0017424212741838185,0.09537707674653831,0.09970408027825506,0.09486818181818181,0.09691198347107438,0.09852107438016527,0.09801033057851238,0.09939132231404958
M0,8,dominant_predicted_class_ratio,5,0.1491818181818182,0.008133696871250392,0.139082499604484,0.1592811367591524,0.1368181818181818,0.14636363636363636,0.15363636363636363,0.1509090909090909,0.15818181818181817
M0,10,accuracy,5,0.9176363636363636,0.0014156737729452101,0.9158785724792963,0.9193941547934309,0.9159090909090909,0.9190909090909091,0.9186363636363636,0.9181818181818182,0.9163636363636364
M0,10,macro_f1,5,0.9127019312823448,0.0013692338931944677,0.9110018028520448,0.9144020597126448,0.9134610175923094,0.9140767137197415,0.9123332811990317,0.9131114259885197,0.9105272179121215
M0,10,balanced_accuracy,5,0.9176363636363638,0.001415673772945235,0.9158785724792964,0.9193941547934312,0.915909090909091,0.9190909090909092,0.9186363636363637,0.9181818181818183,0.9163636363636364
